valid_time,latitude,longitude,number,expver,t2m,sp,crr,lsrr,ptype,u100,v100,cbh
2000-04-09,25.74,80.18,0,0001,296.68604,98957.375,0.0,0.0,0.0,3.0847845,-6.118615,
2000-04-10,25.74,80.18,0,0001,293.99023,99004.875,0.0,0.0,0.0,2.6100864,1.3991308,
2000-04-11,25.74,80.18,0,0001,292.86816,99060.44,0.0,0.0,0.0,2.626464,1.0374527,
2000-04-12,25.74,80.18,0,0001,292.7295,99094.31,0.0,0.0,0.0,-2.9178514,3.617035,
2000-04-13,25.74,80.18,0,0001,295.44873,98927.625,0.0,0.0,0.0,-4.141553,1.4739695,
2000-04-14,25.74,80.18,0,0001,297.11792,98665.125,0.0,0.0,0.0,-4.357443,3.5884838,5019.4414
2000-04-15,25.74,80.18,0,0001,298.5415,98867.25,0.0,0.0,0.0,-8.710764,1.3000593,4468.664
2000-04-16,25.74,80.18,0,0001,298.56738,99230.06,0.0,0.0,0.0,-5.4072094,0.96541995,
2000-04-17,25.74,80.18,0,0001,296.70825,99035.875,0.0,0.0,0.0,-2.769414,5.2891474,8936.746
2000-04-18,25.74,80.18,0,0001,298.80957,98986.94,0.0,0.0,0.0,-2.8899136,0.91417587,
2000-04-19,25.74,80.18,0,0001,298.54468,98987.56,0.0,0.0,0.0,1.2304487,4.4164333,
2000-04-20,25.74,80.18,0,0001,299.55786,98881.31,0.0,0.0,0.0,-1.55476,0.6743036,4812.875
2000-04-21,25.74,80.18,0,0001,298.6328,98685.5,0.0,0.0,0.0,4.8979225,-0.4417498,
2000-04-22,25.74,80.18,0,0001,301.36426,98908.625,0.0,0.0,0.0,0.53131837,5.3926916,8066.3633
2000-04-23,25.74,80.18,0,0001,302.1328,98972.31,0.0,0.0,0.0,7.9675875,1.282196,6408.7773
2000-04-24,25.74,80.18,0,0001,298.2661,98858.31,0.0,0.0,0.0,1.9557896,0.63430536,
2000-04-25,25.74,80.18,0,0001,299.08496,98531.5,0.0,0.0,0.0,4.298298,3.761755,4610.4375
2000-04-26,25.74,80.18,0,0001,300.50464,98473.06,0.0,0.0,0.0,-6.833761,1.746026,
2000-04-27,25.74,80.18,0,0001,301.58228,98622.19,0.0,0.0,0.0,-7.776004,1.0327959,5112.4844
2000-04-28,25.74,80.18,0,0001,300.3086,98633.44,0.0,0.0,0.0,-5.211446,0.62906724,
2000-04-29,25.74,80.18,0,0001,302.33447,98590.625,0.0,0.0,0.0,4.9701834,-0.25424558,
2000-04-30,25.74,80.18,0,0001,300.20093,98872.125,0.0,0.0,0.0,0.93129724,3.6505556,
2000-05-01,25.74,80.18,0,0001,298.0227,98778.125,0.0,0.0,0.0,1.7397652,0.89438176,
2000-05-02,25.74,80.18,0,0001,299.31885,98730.81,0.0,0.0,0.0,6.479909,0.122707784,
2000-05-03,25.74,80.18,0,0001,300.15454,99033.06,0.0,0.0,0.0,-8.063992,0.5222633,
2000-05-04,25.74,80.18,0,0001,301.34546,99095.625,0.0,0.0,0.0,-6.075042,2.3127165,
2000-05-05,25.74,80.18,0,0001,302.2444,99130.25,0.0,0.0,0.0,-5.3127527,1.7408295,9423.281
2000-05-06,25.74,80.18,0,0001,302.10303,99213.625,0.0,0.0,0.0,-5.258093,1.6171827,
2000-05-07,25.74,80.18,0,0001,298.46143,99286.5,0.0,0.0,0.0,-0.5615672,3.9684792,9608.195
2000-05-08,25.74,80.18,0,0001,301.05664,99154.31,0.0,0.0,0.0,-1.7851868,0.8042778,2056.37
2000-05-09,25.74,80.18,0,0001,299.2412,99207.75,0.0,0.0,0.0,-2.667183,-2.4688482,3652.0103
2000-05-10,25.74,80.18,0,0001,300.8274,99070.19,0.0,0.0,0.0,2.2581377,0.13978916,3672.81
2000-05-11,25.74,80.18,0,0001,303.49097,98847.81,0.0,0.0,0.0,6.342556,-1.6942921,
2000-05-12,25.74,80.18,0,0001,302.62183,98814.75,0.0,0.0,0.0,6.652217,2.1873808,2869.907
2000-05-13,25.74,80.18,0,0001,303.9292,99015.0,0.0,0.0,0.0,7.5219097,-4.0176725,3245.2502
2000-05-14,25.74,80.18,0,0001,302.26074,98932.81,0.0,0.0,0.0,6.045418,-1.863143,4278.4336
2000-05-15,25.74,80.18,0,0001,300.09644,98793.06,0.0,3.7260115e-06,1.0,6.436902,0.94188946,1354.7065
2000-05-16,25.74,80.18,0,0001,302.29712,98612.25,0.0,0.0,0.0,6.527772,2.5327759,3143.5608
2000-05-17,25.74,80.18,0,0001,303.94165,98459.375,0.0,0.0,0.0,6.9828835,0.3825506,3498.199
2000-05-18,25.74,80.18,0,0001,306.1411,98334.5,0.0,0.0,0.0,8.389248,0.11410767,4008.6516
2000-05-19,25.74,80.18,0,0001,305.14868,98326.75,0.0,0.0,0.0,6.3969517,1.5816975,4001.6648
2000-05-20,25.74,80.18,0,0001,304.25684,98411.625,0.0,0.0,0.0,6.8544703,2.7928495,3956.7014
2000-05-21,25.74,80.18,0,0001,301.2146,98562.25,0.0,0.0,0.0,0.5702197,0.636847,4882.6484
2000-05-22,25.74,80.18,0,0001,300.67212,98547.5,0.0,0.0,1.0,-7.572381,1.5579023,3652.3967
2000-05-23,25.74,80.18,0,0001,302.1587,98554.81,0.0,0.0,0.0,-6.2022686,1.2850037,3751.793
2000-05-24,25.74,80.18,0,0001,302.42017,98515.625,0.0,0.0,0.0,-1.5510998,4.28881,
2000-05-25,25.74,80.18,0,0001,306.81543,98180.56,0.0,0.0,0.0,9.552175,-0.3413589,3057.8691
2000-05-26,25.74,80.18,0,0001,307.22827,98050.06,0.0,0.0,0.0,10.157694,-0.15459925,4842.5156
2000-05-27,25.74,80.18,0,0001,307.60596,98221.5,0.0,0.0,0.0,10.288466,0.14792562,4931.035
2000-05-28,25.74,80.18,0,0001,307.09424,98380.375,0.0,0.0,0.0,9.757549,0.15074939,4504.6484
2000-05-29,25.74,80.18,0,0001,303.06274,98575.44,0.0,0.0,0.0,4.020713,-1.5993404,
2000-05-30,25.74,80.18,0,0001,304.438,98578.19,0.0,0.0,0.0,6.773299,0.08732861,4827.8438
2000-05-31,25.74,80.18,0,0001,303.61255,98740.06,0.0,0.0,0.0,3.9168968,1.3858423,5722.3906
2000-06-01,25.74,80.18,0,0001,302.39478,98626.19,0.0,0.0,0.0,3.7160988,1.3228874,2908.7761
2000-06-02,25.74,80.18,0,0001,302.35327,98523.06,5.34857e-06,0.0,1.0,1.576046,7.721072,2683.5852
