valid_time,latitude,longitude,number,expver,t2m,sp,lsrr,ptype,u100,v100,cbh
1980-08-22,25.74,80.18,0,0001,300.4026,98623.75,0.0,0.0,-1.9764061,1.1849461,1027.3823
1980-08-23,25.74,80.18,0,0001,300.01685,98632.31,0.0,0.0,-2.5897713,-0.5248718,729.0325
1980-08-24,25.74,80.18,0,0001,298.17773,98529.81,3.7132515e-05,1.0,2.812358,1.1383629,237.7902
1980-08-25,25.74,80.18,0,0001,297.6316,98551.25,0.00020856381,1.0,4.172248,-0.9619689,328.3474
1980-08-26,25.74,80.18,0,0001,298.49854,98636.81,0.00039609056,1.0,5.4226265,0.023951724,1076.6475
1980-08-27,25.74,80.18,0,0001,296.68457,98519.125,7.332169e-05,1.0,6.4412785,-3.0110712,668.4326
1980-08-28,25.74,80.18,0,0001,298.01538,98514.31,2.8035283e-05,1.0,4.8168135,-5.153157,110.59804
1980-08-29,25.74,80.18,0,0001,297.83887,98587.44,5.424673e-06,1.0,-5.14227,-5.3736515,396.40332
1980-08-30,25.74,80.18,0,0001,299.31885,98827.25,0.0,1.0,-6.1058855,1.8392935,1034.2803
1980-08-31,25.74,80.18,0,0001,299.0459,99001.75,0.0,0.0,0.4858867,3.5667706,
1980-09-01,25.74,80.18,0,0001,298.70605,99058.0,0.0,0.0,3.871891,0.9205707,1105.2715
1980-09-02,25.74,80.18,0,0001,300.18286,98974.69,1.9155582e-08,1.0,1.356802,0.7264825,954.2991
1980-09-03,25.74,80.18,0,0001,298.59277,98760.25,9.241362e-06,1.0,0.50256526,-1.4986334,805.8733
1980-09-04,25.74,80.18,0,0001,298.84717,98811.81,2.0028864e-07,1.0,-1.3316851,-2.4717407,242.37482
1980-09-05,25.74,80.18,0,0001,299.28394,98709.56,3.7351856e-05,1.0,-0.24528265,-4.9991646,289.41235
1980-09-06,25.74,80.18,0,0001,298.13257,98509.06,4.327642e-05,1.0,1.9371395,0.7040238,67.986374
